test - 2016-11-03 18:36:16.549632
PY_VAR0 - 2016-11-03 18:37:21.129585
PY_VAR0 - 2016-11-03 18:37:23.067434
PY_VAR0 - 2016-11-03 18:37:23.419067
PY_VAR0 - 2016-11-03 18:37:23.754884
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 18:39:00.027290
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 18:39:00.831716
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 18:39:01.191463
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 18:39:01.412140
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 18:39:01.555844
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 18:39:01.682809
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 18:39:01.803255
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 18:42:45.801363
PY_VAR0 - 2016-11-03 18:47:07.303560
PY_VAR0 - 2016-11-03 18:47:08.236074
PY_VAR0 - 2016-11-03 18:47:08.384123
PY_VAR0 - 2016-11-03 18:47:08.506838
PY_VAR0 - 2016-11-03 18:47:08.623743

You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 18:54:21.147381
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 18:54:45.891367
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 18:54:49.370838
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 18:54:49.743843
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 18:54:49.883014
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 18:54:50.010644
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 19:13:09.168822
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 19:13:12.991818
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 19:13:13.450451
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 19:13:13.803163
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 19:13:14.208601
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 19:13:14.350179
You can associate a Tkinter variable with a label. When the contents of the variable changes, the label is automatically updated: - 2016-11-03 19:13:14.468379
deze tekst is veeeeeel langer - 2016-11-03 19:15:34.905114
deze is kort - 2016-11-03 19:15:35.886962
error, er zijn geen tweets meer - 2016-11-03 19:15:39.444037
deze tekst is veeeeeel langer - 2016-11-03 19:16:22.780339
deze is kort - 2016-11-03 19:16:23.894778
error, er zijn geen tweets meer - 2016-11-03 19:16:24.902818
deze tekst is veeeeeel langer - 2016-11-03 19:18:39.904960
deze is kort - 2016-11-03 19:18:40.545294
error, er zijn geen tweets meer - 2016-11-03 19:18:40.882065
error, er zijn geen tweets meer - 2016-11-03 19:18:41.109774

2 - 2016-11-03 20:08:40.521344
3 - 2016-11-03 20:08:40.713398
4 - 2016-11-03 20:08:40.885524
